"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Â ","","",""
"Jalen Hurts","PHI","520.1","339.7","3,811.3","24.4","12.3","145.6","625.0","11.3","3.8","360.4"
"Josh Allen","BUF","559.6","364.5","4,029.5","27.6","14.2","107.4","546.6","8.9","4.0","357.1"
"Patrick Mahomes II","KC","584.4","392.0","4,371.2","32.5","11.4","72.3","376.7","1.8","3.1","335.7"
"Lamar Jackson","BAL","464.6","304.2","3,570.9","25.1","10.8","138.6","800.1","5.1","4.1","335.2"
"Dak Prescott","DAL","574.6","386.4","4,239.3","31.1","12.2","51.9","222.3","2.0","2.8","310.4"
"Anthony Richardson","IND","511.9","326.3","3,507.8","19.9","11.5","127.5","646.0","7.8","5.0","310.0"
"C.J. Stroud","HOU","556.0","361.8","4,329.0","29.4","10.1","44.1","184.2","2.3","3.6","306.0"
"Joe Burrow","CIN","580.8","389.7","4,230.6","30.3","11.5","56.7","192.4","2.2","3.1","305.5"
"Kyler Murray","ARI","530.3","353.2","3,679.0","21.8","12.3","96.1","521.2","5.0","2.6","298.7"
"Brock Purdy","SF","498.4","336.1","4,073.5","29.6","11.0","44.7","163.6","2.0","2.6","293.3"
"Jordan Love","GB","543.1","353.5","3,973.5","29.2","11.6","46.1","202.5","2.5","3.0","292.8"
"Trevor Lawrence","JAC","565.7","373.0","3,978.1","24.3","12.7","66.1","306.5","3.5","4.8","285.5"
"Jayden Daniels","WAS","538.3","338.2","3,557.6","20.0","14.6","109.5","575.1","4.4","4.4","282.4"
"Caleb Williams","CHI","539.8","351.2","3,802.6","24.9","14.2","69.5","325.6","3.1","4.0","280.6"
"Justin Herbert","LAC","544.2","356.4","3,851.9","24.6","9.7","65.8","267.0","2.7","3.0","279.6"
"Jared Goff","DET","568.4","383.5","4,230.2","28.1","10.8","24.6","55.6","1.1","3.1","276.8"
"Deshaun Watson","CLE","538.6","330.7","3,713.6","22.7","13.5","76.8","380.3","3.2","3.8","275.1"
"Tua Tagovailoa","MIA","545.1","370.8","4,269.0","27.2","12.7","31.8","88.8","0.6","3.8","271.9"
"Baker Mayfield","TB","562.0","355.5","3,947.9","25.7","11.9","52.1","171.3","1.5","3.3","268.3"
"Kirk Cousins","ATL","534.4","351.0","4,024.7","27.0","10.5","33.9","99.6","1.4","4.5","268.2"
"Matthew Stafford","LAR","552.5","355.0","4,122.7","26.8","12.7","23.4","66.2","0.6","2.2","265.1"
"Aaron Rodgers","NYJ","545.9","361.2","3,834.5","26.2","9.2","33.2","110.0","1.3","2.7","262.4"
"Geno Smith","SEA","522.6","342.7","3,756.0","24.3","12.1","50.6","203.8","1.5","3.1","258.7"
"Derek Carr","NO","544.6","363.8","3,848.6","25.0","11.1","24.7","71.2","0.5","3.2","246.3"
"Will Levis","TEN","511.0","320.7","3,705.1","21.6","12.8","54.5","186.8","2.2","4.2","245.4"
"Daniel Jones","NYG","494.2","322.7","3,222.2","16.6","10.8","95.0","469.3","3.5","3.6","245.1"
"Russell Wilson","PIT","438.2","279.1","3,048.6","18.8","9.8","65.9","311.4","2.6","3.5","227.4"
"Bryce Young","CAR","531.7","333.5","3,454.0","19.2","12.1","43.0","237.2","1.2","3.5","226.9"
"Bo Nix","DEN","470.2","293.0","2,986.8","17.6","11.5","59.6","265.1","2.4","3.2","212.9"
"J.J. McCarthy","MIN","390.7","249.7","2,851.4","17.0","10.7","31.0","181.6","1.6","2.9","193.5"
"Drake Maye","NE","375.4","237.8","2,707.1","14.4","11.4","46.8","225.7","1.8","2.6","182.8"
"Gardner Minshew II","LV","331.0","208.0","2,219.6","12.7","8.4","26.8","93.3","1.3","1.9","145.0"
"Aidan O'Connell","LV","240.0","151.0","1,587.3","8.6","6.3","20.2","50.7","0.5","2.0","95.9"
"Sam Darnold","MIN","214.0","134.3","1,300.2","7.7","4.8","18.3","60.6","0.9","0.5","88.2"
"Justin Fields","PIT","107.3","65.7","745.0","4.1","3.1","40.8","212.8","1.3","1.2","70.0"
"Jacoby Brissett","NE","174.6","112.5","1,031.8","5.5","3.7","15.9","56.2","0.3","1.0","65.1"
"Taysom Hill","NO","5.0","4.0","54.0","0.0","0.0","80.0","351.5","4.5","0.5","63.3"
"Jarrett Stidham","DEN","97.4","61.3","700.3","4.2","3.0","11.8","39.9","0.3","0.6","46.3"
"Sam Howell","SEA","73.1","47.0","496.8","3.1","2.2","8.0","39.0","0.4","0.5","35.4"
"Drew Lock","NYG","74.0","46.5","504.3","3.3","1.8","7.9","25.0","0.1","0.6","33.9"
"Nathan Peterman","NO","65.7","40.6","429.1","2.9","1.8","5.9","24.3","0.2","0.5","29.2"
"Jake Browning","CIN","50.5","32.7","376.9","2.7","1.5","5.6","26.8","0.2","0.2","27.5"
"Michael Penix Jr.","ATL","42.5","26.0","335.0","2.5","1.3","3.4","21.0","0.4","0.5","25.6"
"Josh Johnson","BAL","42.7","26.7","294.2","1.9","0.9","8.8","37.0","0.3","0.3","23.0"
"Hendon Hooker","DET","68.2","44.3","327.5","1.9","1.4","6.1","25.9","0.2","0.3","22.6"
"Kenny Pickett","PHI","43.8","28.6","329.6","2.0","1.2","7.1","24.5","0.2","0.5","22.4"
"Mitchell Trubisky","BUF","45.7","29.6","269.8","2.0","1.3","8.0","25.8","0.3","0.2","21.5"
"Sean Clifford","GB","50.7","32.1","309.6","2.2","1.2","6.5","17.8","0.1","0.3","21.5"
"Jimmy Garoppolo","LAR","46.5","30.1","315.4","2.1","1.2","3.8","10.6","0.0","0.1","21.0"
"Carson Wentz","KC","48.6","30.8","289.8","2.1","1.3","5.2","19.4","0.1","0.2","20.8"
"Case Keenum","HOU","51.9","32.3","301.1","2.2","1.3","4.0","12.1","0.1","0.3","20.6"
"Mason Rudolph","TEN","57.4","34.9","332.3","1.8","1.3","5.3","13.5","0.1","0.3","20.5"
"Joshua Dobbs","SF","40.6","26.9","266.3","1.8","0.9","6.0","27.8","0.2","0.2","20.4"
"Tyson Bagent","CHI","46.5","30.1","293.6","1.7","1.2","4.9","24.1","0.1","0.2","20.2"
"Jameis Winston","CLE","48.0","29.6","307.8","1.9","1.5","5.6","18.3","0.1","0.1","20.2"
"Desmond Ridder","ARI","48.2","30.9","329.2","1.8","1.4","5.8","21.1","0.1","0.9","20.1"
"Cooper Rush","DAL","48.2","30.5","297.9","2.0","1.3","5.7","11.0","0.1","0.2","19.6"
"Marcus Mariota","WAS","44.5","27.7","282.3","1.5","1.2","6.5","30.8","0.1","0.2","19.5"
"Tyrod Taylor","NYJ","43.9","27.5","269.9","1.9","1.0","5.5","23.5","0.0","0.2","19.5"
"Joe Flacco","IND","48.9","30.7","317.5","1.8","1.1","5.0","13.3","0.0","0.5","19.3"
"Mac Jones","JAC","46.7","31.4","290.3","1.7","1.3","5.4","19.0","0.0","0.1","18.9"
"Easton Stick","LAC","43.3","26.4","261.9","1.7","0.9","6.1","24.1","0.1","0.2","18.6"
"Kyle Trask","TB","44.7","26.9","264.5","1.7","0.9","5.5","13.5","0.1","0.2","18.1"
"Andy Dalton","CAR","45.4","28.6","272.1","1.6","0.9","4.7","16.7","0.1","0.1","18.0"
"Mike White","MIA","47.2","30.1","293.1","1.5","1.4","4.2","8.5","0.1","0.2","17.1"
"Tyler Huntley","CLE","0.0","0.0","202.0","1.0","1.0","0.0","24.0","0.0","0.0","13.5"
"Zach Wilson","DEN","0.0","0.0","200.0","1.0","1.0","0.0","17.0","0.0","0.0","12.7"
"Jaren Hall","MIN","0.0","0.0","174.0","1.0","1.0","0.0","26.0","0.0","0.0","12.6"
"Bailey Zappe","NE","0.0","0.0","200.0","1.0","1.0","0.0","15.0","0.0","0.0","12.5"
"Malik Willis","TEN","0.0","0.0","168.0","1.0","1.0","0.0","26.0","0.0","0.0","12.3"
"Tommy DeVito","NYG","0.0","0.0","190.0","1.0","1.0","0.0","17.0","0.0","0.0","12.3"
"Nick Mullens","MIN","0.0","0.0","210.0","1.0","1.0","0.0","9.0","0.0","0.0","12.3"
"Davis Mills","HOU","22.0","13.0","184.0","1.0","0.5","4.0","13.5","0.0","0.0","12.2"
"C.J. Beathard","JAC","0.0","0.0","186.0","1.0","1.0","0.0","15.0","0.0","0.0","11.9"
"Trey Lance","DAL","24.0","15.0","177.0","1.0","1.0","5.0","18.5","0.0","0.0","11.9"
"Kyle Allen","PIT","0.0","0.0","186.0","1.0","1.0","0.0","13.0","0.0","0.0","11.7"
"Jordan Travis","NYJ","0.0","0.0","188.0","1.0","1.0","0.0","10.0","0.0","0.0","11.5"
"Skylar Thompson","MIA","0.0","0.0","161.0","1.0","1.0","0.0","20.0","0.0","0.0","11.4"
"Taylor Heinicke","ATL","0.0","0.0","220.0","1.0","1.0","0.0","14.0","0.0","1.0","11.2"
"Clayton Tune","ARI","0.0","0.0","180.0","1.0","1.0","0.0","7.0","0.0","0.0","10.9"
"Michael Pratt","GB","16.0","11.0","156.0","1.0","0.5","2.0","10.0","0.0","0.0","10.7"
"Joe Milton III","NE","0.0","0.0","190.0","1.0","1.0","0.0","17.0","0.0","1.0","10.3"
"Gavin Hardison","MIA","16.0","11.0","129.0","1.0","0.0","2.0","9.0","0.0","0.0","10.1"
"Spencer Rattler","NO","17.0","11.0","110.0","1.0","0.0","2.0","9.0","0.0","0.0","9.3"
"Jacob Eason","GB","21.0","12.0","138.0","1.0","1.0","2.0","7.0","0.0","0.0","9.2"
"Stetson Bennett","LAR","0.0","0.0","92.0","1.0","0.0","0.0","13.0","0.0","0.0","9.0"
"Carter Bradley","LV","16.0","10.0","107.0","1.0","0.0","2.0","7.0","0.0","0.0","9.0"
"Sam Hartman","WAS","0.0","0.0","100.0","1.0","0.0","0.0","7.0","0.0","0.0","8.7"
"Nathan Rourke","NYG","15.0","10.0","96.0","1.0","0.0","2.0","8.0","0.0","0.0","8.6"
"Tanner McKee","PHI","0.0","0.0","80.0","1.0","0.0","0.0","8.0","0.0","0.0","8.0"
"Sam Ehlinger","IND","0.0","0.0","76.0","1.0","0.0","0.0","8.0","0.0","0.0","7.8"
"Dorian Thompson-Robinson","CLE","0.0","0.0","87.0","0.0","0.0","0.0","13.0","0.0","0.0","4.8"
"Devin Leary","BAL","0.0","0.0","65.0","0.0","0.0","0.0","0.0","0.0","0.0","2.6"
"Malik Cunningham","BAL","0.0","0.0","0.0","0.0","0.0","1.0","5.0","0.0","0.0","0.5"
""
""